date,cpi_value,monthly_change,monthly_change_pct
2020-01-01,136.80,NULL,NULL
2020-02-01,137.40,0.60,0.4386
2020-03-01,136.60,-0.80,-0.5822
2020-04-01,135.70,-0.90,-0.6589
2020-05-01,136.10,0.40,0.2948
2020-06-01,137.20,1.10,0.8082
2020-07-01,137.20,0.00,0.0000
2020-08-01,137.00,-0.20,-0.1458
2020-09-01,136.90,-0.10,-0.0730
2020-10-01,137.50,0.60,0.4383
2020-11-01,137.70,0.20,0.1455
2020-12-01,137.40,-0.30,-0.2179
2021-01-01,138.20,0.80,0.5822
2021-02-01,138.90,0.70,0.5065
2021-03-01,139.60,0.70,0.5040
2021-04-01,140.30,0.70,0.5014
2021-05-01,141.00,0.70,0.4989
2021-06-01,141.40,0.40,0.2837
2021-07-01,142.30,0.90,0.6365
2021-08-01,142.60,0.30,0.2108
2021-09-01,142.90,0.30,0.2104
2021-10-01,143.90,1.00,0.6998
2021-11-01,144.20,0.30,0.2085
2021-12-01,144.00,-0.20,-0.1387
2022-01-01,145.30,1.30,0.9028
2022-02-01,146.80,1.50,1.0323
2022-03-01,148.90,2.10,1.4305
2022-04-01,149.80,0.90,0.6044
2022-05-01,151.90,2.10,1.4019
2022-06-01,152.90,1.00,0.6583
2022-07-01,153.10,0.20,0.1308
2022-08-01,152.60,-0.50,-0.3266
2022-09-01,152.70,0.10,0.0655
2022-10-01,153.80,1.10,0.7204
2022-11-01,154.00,0.20,0.1300
2022-12-01,153.10,-0.90,-0.5844
2023-01-01,153.90,0.80,0.5225
2023-02-01,154.50,0.60,0.3899
2023-03-01,155.30,0.80,0.5178
2023-04-01,156.40,1.10,0.7083
2023-05-01,157.00,0.60,0.3836
2023-06-01,157.20,0.20,0.1274
2023-07-01,158.10,0.90,0.5725
2023-08-01,158.70,0.60,0.3795
2023-09-01,158.50,-0.20,-0.1260
2023-10-01,158.60,0.10,0.0631
2023-11-01,158.80,0.20,0.1261
2023-12-01,158.30,-0.50,-0.3149
2024-01-01,158.30,0.00,0.0000
2024-02-01,158.80,0.50,0.3159
2024-03-01,159.80,1.00,0.6297
2024-04-01,160.60,0.80,0.5006
2024-05-01,161.50,0.90,0.5604
2024-06-01,161.40,-0.10,-0.0619
2024-07-01,162.10,0.70,0.4337
2024-08-01,161.80,-0.30,-0.1851
2024-09-01,161.10,-0.70,-0.4326
2024-10-01,161.80,0.70,0.4345
2024-11-01,161.80,0.00,0.0000
2024-12-01,161.20,-0.60,-0.3708
2025-01-01,161.30,0.10,0.0620
2025-02-01,163.00,1.70,1.0539
2025-03-01,163.50,0.50,0.3067
2025-04-01,163.40,-0.10,-0.0612
2025-05-01,164.30,0.90,0.5508
2025-06-01,164.40,0.10,0.0609
2025-07-01,164.90,0.50,0.3041
2025-08-01,164.80,-0.10,-0.0606
2025-09-01,164.90,0.10,0.0607
2025-10-01,165.30,0.40,0.2426
2025-11-01,165.40,0.10,0.0605
2025-12-01,165.00,-0.40,-0.2418
2026-01-01,165.00,0.00,0.0000
2026-02-01,165.90,0.90,0.5455
2026-03-01,167.40,1.50,0.9042
2026-04-01,168.00,0.60,0.3584
2026-05-01,169.60,1.60,0.9524
