date,cpi_value
2020-01-01,136.80
2020-02-01,137.40
2020-03-01,136.60
2020-04-01,135.70
2020-05-01,136.10
2020-06-01,137.20
2020-07-01,137.20
2020-08-01,137.00
2020-09-01,136.90
2020-10-01,137.50
2020-11-01,137.70
2020-12-01,137.40
2021-01-01,138.20
2021-02-01,138.90
2021-03-01,139.60
2021-04-01,140.30
2021-05-01,141.00
2021-06-01,141.40
2021-07-01,142.30
2021-08-01,142.60
2021-09-01,142.90
2021-10-01,143.90
2021-11-01,144.20
2021-12-01,144.00
2022-01-01,145.30
2022-02-01,146.80
2022-03-01,148.90
2022-04-01,149.80
2022-05-01,151.90
2022-06-01,152.90
2022-07-01,153.10
2022-08-01,152.60
2022-09-01,152.70
2022-10-01,153.80
2022-11-01,154.00
2022-12-01,153.10
2023-01-01,153.90
2023-02-01,154.50
2023-03-01,155.30
2023-04-01,156.40
2023-05-01,157.00
2023-06-01,157.20
2023-07-01,158.10
2023-08-01,158.70
2023-09-01,158.50
2023-10-01,158.60
2023-11-01,158.80
2023-12-01,158.30
2024-01-01,158.30
2024-02-01,158.80
2024-03-01,159.80
2024-04-01,160.60
2024-05-01,161.50
2024-06-01,161.40
2024-07-01,162.10
2024-08-01,161.80
2024-09-01,161.10
2024-10-01,161.80
2024-11-01,161.80
2024-12-01,161.20
2025-01-01,161.30
2025-02-01,163.00
2025-03-01,163.50
2025-04-01,163.40
2025-05-01,164.30
2025-06-01,164.40
2025-07-01,164.90
2025-08-01,164.80
2025-09-01,164.90
2025-10-01,165.30
2025-11-01,165.40
2025-12-01,165.00
2026-01-01,165.00
2026-02-01,165.90
2026-03-01,167.40
2026-04-01,168.00
2026-05-01,169.60
