year,month,avg_stock_price,avg_interest_rate
2020,1,19.88,1.75
2020,2,19.71,1.75
2020,3,14.28,0.95
2020,4,13.26,0.25
2020,5,12.77,0.25
2020,6,13.97,0.25
2020,7,13.39,0.25
2020,8,13.57,0.25
2020,9,13.75,0.25
2020,10,13.93,0.25
2020,11,15.94,0.25
2020,12,15.98,0.25
2021,1,16.14,0.25
2021,2,17.04,0.25
2021,3,18.44,0.25
2021,4,19.36,0.25
2021,5,20.34,0.25
2021,6,20.79,0.25
2021,7,21.26,0.25
2021,8,21.41,0.25
2021,9,21.69,0.25
2021,10,22.05,0.25
2021,11,22.80,0.25
2021,12,22.53,0.25
2022,1,22.66,0.25
2022,2,22.70,0.25
2022,3,23.93,0.48
2022,4,23.81,0.78
2022,5,21.63,1.00
2022,6,20.75,1.48
2022,7,21.01,2.10
2022,8,21.97,2.50
2022,9,20.60,3.10
2022,10,20.03,3.33
2022,11,20.95,3.75
2022,12,20.79,4.13
2023,1,21.74,4.30
2023,2,21.51,4.50
2023,3,20.81,4.50
2023,4,20.85,4.50
2023,5,20.36,4.50
2023,6,19.68,4.69
2023,7,19.76,4.91
2023,8,19.84,5.00
2023,9,19.35,5.00
2023,10,18.20,5.00
2023,11,18.95,5.00
2023,12,20.11,5.00
2024,1,20.91,5.00
2024,2,20.22,5.00
2024,3,19.49,5.00
2024,4,19.22,5.00
2024,5,19.42,5.00
2024,6,19.06,4.79
2024,7,20.35,4.69
2024,8,21.44,4.50
2024,9,23.41,4.28
2024,10,22.82,4.11
2024,11,22.41,3.75
2024,12,22.56,3.45
2025,1,22.03,3.23
2025,2,22.88,3.00
2025,3,23.13,2.85
2025,4,22.88,2.75
2025,5,23.62,2.75
2025,6,23.76,2.75
2025,7,24.02,2.75
2025,8,24.83,2.75
2025,9,25.27,2.64
2025,10,25.31,2.48
2025,11,25.19,2.25
2025,12,24.57,2.25
2026,1,25.95,2.25
2026,2,26.70,2.25
2026,3,26.37,2.25
2026,4,27.55,2.25
2026,5,28.30,2.25
2026,6,29.64,2.25
2026,7,30.46,2.25
