document_year,filename,theme,keyword,excerpt
2024,2024_annual_mda_english.pdf,occupancy,occupancy,"ft.) 35,300 35,045 34,750 In-place and committed occupancy rate 98.7 % 98.5 % 98.0 % Average lease term to maturity (in years) 4.2 4.3 4.2 In-place net retail rental rate excluding Anchors (per occupied sq."
2024,2024_annual_mda_english.pdf,occupancy,occupied,"ft.) 35,300 35,045 34,750 In-place and committed occupancy rate 98.7 % 98.5 % 98.0 % Average lease term to maturity (in years) 4.2 4.3 4.2 In-place net retail rental rate excluding Anchors (per occupied sq."
2024,2024_annual_mda_english.pdf,occupancy,in-place,"ft.) 35,300 35,045 34,750 In-place and committed occupancy rate 98.7 % 98.5 % 98.0 % Average lease term to maturity (in years) 4.2 4.3 4.2 In-place net retail rental rate excluding Anchors (per occupied sq."
2024,2024_annual_mda_english.pdf,NOI,net operating income,"The following terms are non-GAAP measures used in this MD&A: Adjusted Debt, Adjusted Funds From Operations (“AFFO”), AFFO with adjustments, AFFO per Unit, AFFO with adjustments per Unit, Net Debt, Adjusted Debt to Adjusted EBITDA, Adjusted Earnings Before Interest, Taxes, Depreciation and Amortizati"
2024,2024_annual_mda_english.pdf,NOI,noi,"MANAGEMENT’S DISCUSSION AND ANALYSIS December 31, 2024 2024 YEAR-END REPORT SMARTCENTRES REAL ESTATE INVESTMENT TRUST | 2024 FIRST QUARTER REPORT 2 Proportionately Consolidated Balance Sheets Investment Properties Maintenance Capital Requirements Equity Accounted Investments Amounts Receivable and O"
2024,2024_annual_mda_english.pdf,interest_rate,interest rate,"ft.) $23.48 $22.59 $22.20 Financial Information Total assets(2) 11,939,689 11,905,422 11,702,153 Investment properties(2) 10,659,783 10,564,269 10,286,891 Total unencumbered assets(3) 9,464,521 9,170,121 8,415,900 Debt(2) 5,046,279 4,999,522 4,983,265 Debt to Aggregate Assets(3)(4)(5) 43.7 % 43.1 %"
2024,2024_annual_mda_english.pdf,interest_rate,borrowing cost,"a) Investment properties Judgment is applied in determining whether certain costs are additions to the carrying amount of an investment property and, for properties under development, identifying the point at which substantial completion of the property occurs and identifying the directly attributab"
2024,2024_annual_mda_english.pdf,debt,total debt,"Section VIII — Financing and Capital Resources, “Financial Covenants” Fixed Rate to Variable Rate Debt Ratio Fixed Rate to Variable Rate Debt Ratio is defined as the percentage of Fixed Rate Debt out of total Debt compared with the percentage of Variable Rate Debt (excluding interest rate swap agree"
2024,2024_annual_mda_english.pdf,debt,mortgage,"MANAGEMENT’S DISCUSSION AND ANALYSIS December 31, 2024 2024 YEAR-END REPORT SMARTCENTRES REAL ESTATE INVESTMENT TRUST | 2024 FIRST QUARTER REPORT 2 Proportionately Consolidated Balance Sheets Investment Properties Maintenance Capital Requirements Equity Accounted Investments Amounts Receivable and O"
2024,2024_annual_mda_english.pdf,debt,debenture,"Section VIII — Financing and Capital Resources, “Financial Covenants” Adjusted Earnings Before Interest, Taxes, Depreciation and Amortization Expense (“Adjusted EBITDA”) Adjusted EBITDA is defined as the Trust’s Total Proportionate Share of net income and comprehensive income adjusted by income taxe"
