reit_name,symbol,reit_type,source,pulled_at,company_id
Canadian Apartment Properties REIT (CAPREIT),CAR.UN,Residential Apartments,wowa.ca,2026-07-14T18:50:27.838203,
RioCan REIT,REI.UN,Retail,wowa.ca,2026-07-14T18:50:27.838203,
Granite Real Estate,GRT.UN,Industrial,wowa.ca,2026-07-14T18:50:27.838203,
Allied Properties REIT,AP.UN,Office,wowa.ca,2026-07-14T18:50:27.838203,
Choice Properties REIT,CHP.UN,Commercial / Residential,wowa.ca,2026-07-14T18:50:27.838203,
H&R REIT,HR.UN,Commercial,wowa.ca,2026-07-14T18:50:27.838203,
SmartCentres REIT,SRU.UN,Retail,wowa.ca,2026-07-14T18:50:27.838203,smartcentres
First Capital Realty,FCR.UN,Commercial,wowa.ca,2026-07-14T18:50:27.838203,
Summit Industrial Income REIT,SMU.UN,Industrial,wowa.ca,2026-07-14T18:50:27.838203,
NorthWest Health REIT,NWH.UN,Healthcare,wowa.ca,2026-07-14T18:50:27.838203,
Chartwell Retirement Residences,CSH.UN,Healthcare,wowa.ca,2026-07-14T18:50:27.838203,
InterRent REIT,IIP.UN,Residential,wowa.ca,2026-07-14T18:50:27.838203,
Killam Apartment REIT,KMP.UN,Residential,wowa.ca,2026-07-14T18:50:27.838203,
Boardwalk REIT,BEI.UN,Residential,wowa.ca,2026-07-14T18:50:27.838203,
Cominar REIT,CUF.UN,Commercial (excluding Residential),wowa.ca,2026-07-14T18:50:27.838203,
Canadian Tire (CT) REIT,CRT.UN,Retail,wowa.ca,2026-07-14T18:50:27.838203,
Crombie REIT,CRR.UN,Retail,wowa.ca,2026-07-14T18:50:27.838203,
Artis REIT,AX.UN,Commercial (excluding Residential),wowa.ca,2026-07-14T18:50:27.838203,
Dream Office REIT,D.UN,Office,wowa.ca,2026-07-14T18:50:27.838203,
Minto Apartment REIT,MI.UN,Residential Apartments,wowa.ca,2026-07-14T18:50:27.838203,
Morguard North American Residential REIT,MRG.UN,Residential,wowa.ca,2026-07-14T18:50:27.838203,
True North Commercial,TNT.UN,Commercial,wowa.ca,2026-07-14T18:50:27.838203,
Slate Grocery REIT,SGR.UN,Retail,wowa.ca,2026-07-14T18:50:27.838203,
Automotive Properties REIT,APR.UN,Commercial,wowa.ca,2026-07-14T18:50:27.838203,
European Residential REIT,ERE.UN,Residential,wowa.ca,2026-07-14T18:50:27.838203,
Nexus REIT,NXR.UN,Industrial,wowa.ca,2026-07-14T18:50:27.838203,
Morguard REIT,MRT.UN,Commercial,wowa.ca,2026-07-14T18:50:27.838203,
Slate Office REIT,SOT.UN,Office,wowa.ca,2026-07-14T18:50:27.838203,
PRO REIT,PRV.UN,Commercial,wowa.ca,2026-07-14T18:50:27.838203,
Dream Industrial REIT,DIR.UN,Industrial,wowa.ca,2026-07-14T18:50:27.838203,
American Hotel Income Properties REIT,HOT.UN,Hotels,wowa.ca,2026-07-14T18:50:27.838203,
Inovalis REIT,INO.UN,Office,wowa.ca,2026-07-14T18:50:27.838203,
BTB REIT,BTB.UN,Commercial (excluding Residential),wowa.ca,2026-07-14T18:50:27.838203,
Melcor REIT,MR.UN,Commercial,wowa.ca,2026-07-14T18:50:27.838203,
Lanesborough REIT,LRT-UN.V,Residential Apartments,wowa.ca,2026-07-14T18:50:27.838203,
